objectid,filename,title,creator,date,description,subject,location,identifier,format,filesize,rights
2024_001,2024_001.jpg,Cat Nap,"Traicoff, Erin",2024-06-17,An image of three cats napping together in front of a window,Little Po; Princess Peach; Nugget; cats; pets,"Dover Street, Iowa City, Iowa",2024_001,image/jpeg,2.3 MB,"Copyright 2024, Erin Traicoff"
2023_002,2023_002.jpg,Buckles,"Traicoff, Allison",2023-10-16,An image of Buckles on a white blanket,Buckles; cats; pets,"Larick Court, Marion, Iowa",2023_002,image/jpeg,578.7 KB,"Copyright 2023, Allison Traicoff"
2024_003,2024_003.jpg,Little Po,"Traicoff, Erin",2024-06-01,An image of Little Po napping with his favorite toy,Little Po; cats; pets,"Dover Street, Iowa City, Iowa",2024_003,image/jpeg,4.1 MB,"Copyright 2024, Erin Traicoff"
2023_004,2023_004.jpg,Calvin,"Traicoff, Emory",2023-09-10,An image of Calvin on a blue blanket,Calvin; cats; pets,"Larick Court, Marion, Iowa",2023_004,image/jpeg,1.9 MB,"Copyright 2023, Emory Traicoff"
2023_005,2023_005.jpg,Princess Peach,"Traicoff, Erin",2023-11-23,An image of Princess Peach lying on a hardwood floor with her tongue out,Princess Peach; cats; pets,"Dover Street, Iowa City, Iowa",2023_005,image/jpeg,193.4 KB,"Copyright 2023, Erin Traicoff"
2023_006,2023_006.jpg,Nugget,"Traicoff, Erin",2023-07-30,A close-up image of Nugget's face,Nugget; cats; pets,"Dover Street, Iowa City, Iowa",2023_006,image/jpeg,3.4 MB,"Copyright 2023, Erin Traicoff"
2023_007,2023_007.jpg,Table Cats,"Traicoff, Emory",2023-04-22,An image of Buckles and Calvin on a table,Buckles; Calvin; cats; pets,"Larick Court, Marion, Iowa",2023_007,image/jpeg,1.8 MB,"Copyright 2023, Emory Traicoff"
2021_008,2021_008.jpg,Playtime,"Traicoff, Erin",2021-11-29,An image of Princess Peach and Nugget on a cat tree,Princess Peach; Nugget; cats; pets,"Heinz Road, Iowa City, Iowa",2021_008,image/jpeg,231.2 KB,"Copyright 2021, Erin Traicoff"
2020_009,2020_009.jpg,Peekaboo,"Traicoff, Erin",2020-11-01,An image of Nugget poking his head out from a tunnel in his cat tree,Nugget; cats; pets,"Heinz Road, Iowa City, Iowa",2020_009,image/jpeg,281 KB,"Copyright 2020, Erin Traicoff"
2020_010,2020_010.jpg,Birdwatchers,"Traicoff, Erin",2020-06-21,"An image of Nugget, Little Po, and Princess Peach watching a bird out the window",Nugget; Little Po; Princess Peach; cats; pets,"Heinz Road, Iowa City, Iowa",2020_010,image/jpeg,503 KB,"Copyright 2020, Erin Traicoff"
2020_011,2020_011.jpg,Snuggle Saturday,"Traicoff, Erin",2020-02-22,"An image of Nugget, Little Po, and Princess Peach snuggling on a couch",Nugget; Little Po; Princess Peach; cats; pets,"Heinz Road, Iowa City, Iowa",2020_011,image/jpeg,386 KB,"Copyright 2020, Erin Traicoff"
2018_012,2018_012.jpg,Queen of Cats,"Traicoff, Erin",2018-12-05,An image of Princess Peach sitting high on her cat tree,Princess Peach; cats; pets,"9th Avenue, Coralville, Iowa",2018_012,image/jpeg,258 KB,"Copyright 2018, Erin Traicoff"
2017_013,2017_013.jpg,New Baby,"Traicoff, Erin",2017-07-30,An image of Princess Peach and Baby Nugget taking a nap,Princess Peach; Nugget; cats; pets,"9th Avenue, Coralville, Iowa",2017_013,image/jpeg,2.5 MB,"Copyright 2017, Erin Traicoff"
2015_014,2015_014.jpg,Hanging Out,"Traicoff, Erin",2015-09-06,An image of Little Po and Princess Peach stretched out on the kitchen floor,Little Po; Princess Peach; cats; pets,"9th Avenue, Coralville, Iowa",2015_014,image/jpeg,911 KB,"Copyright 2015, Erin Traicoff"
2018_015,2018_015.jpg,Brotherly Love,"Traicoff, Erin",2018-01-03,An image of Little Po and Nugget snuggled up for a nap,Little Po; Nugget; cats; pets,"9th Avenue, Coralville",2018_015,image/jpeg,1.3 MB,"Copyright 2018, Erin Traicoff"
2018_016,2018_016.jpg,Laundry Helpers,"Traicoff, Erin",2018-04-22,An image of Little Po and Princess Peach sleeping in a laundry basket,Little Po; Princess Peach,"9th Avenue, Coralville, Iowa",2018_016,image/jpeg,728 KB,"Copyright 2018, Erin Traicoff"
